,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
588,0.04725215635463413,0.044360247200342214,0.83976439956238,0.09914966225017825,,,,,,0.08059503535977268,0.03630246242635973,,0.7839528399636894,,
292,0.05739498842737228,0.05786668171479201,0.8190376054560782,0.08466408308327032,,,,,,0.04252096874928687,0.022853004013786253,,,0.8499619441536566,
467,0.05836039234811944,0.056397359072566246,0.8574939171512326,0.1223750768443465,,,,,,0.03737532694565173,0.31098179338468546,,,,0.5292678028253163
442,0.04466311532451084,0.03972877484106465,0.872493940806908,0.08189189488074142,,,,,,0.02859814546277169,,0.43756819986812334,0.4519417597883635,,
241,0.05072431428324599,0.04774747665344498,0.8529102925967444,0.06723482265982964,,,,,,0.022125307053965523,,0.37199266117502217,,0.5386472091111826,
571,0.04891843118458432,0.04282604556508194,0.9087561242478179,0.08494181828553841,,,,,,0.07960025580444677,,0.5758906973290535,,,0.2595672285809612
118,0.05443802783988021,0.05074546696405011,0.8757043830409854,0.0828208606805838,,,,,,0.0017017369790301377,,,0.5444369685238045,0.3710404338165815,
936,0.05916646283728216,0.05356046373845562,0.9179618585337485,0.09896566980236107,,,,,,0.026401168600789865,,,0.5694611148433405,,0.30517204675350856
514,0.06846308928234228,0.06506719640952235,0.8985032782784292,0.12676780385952613,,,,,,0.012660425600561484,,,,0.45020771749602484,0.41036405304388757
456,0.04423533283090751,0.03906491188760464,0.8763704095738774,0.060688653419793626,,,,,,,0.022429614241363267,0.4546684061385649,0.46221332620027816,,
714,0.047440439495769024,0.04376585945789603,0.8554713641985658,0.05571785719151781,,,,,,,0.05378648675820399,0.4719539910578987,,0.41854166499237944,
806,0.056097615626647904,0.05019827669208847,0.9183107202943711,0.09935183608636117,,,,,,,0.00047257835808003223,0.532479421763363,,,0.3676961637921957
461,0.05294030782840211,0.049201646466289384,0.8727412782379702,0.07940909702005439,,,,,,,0.04748428292576789,,0.5258953463064882,0.34721127374768973,
218,0.06168644214502436,0.05616345806003711,0.9202859640475316,0.11215382518496712,,,,,,,0.00954319422833233,,0.529339948819629,,0.34896303176707155
933,0.06865907199191659,0.06528944640195515,0.898446459949766,0.11617666967301885,,,,,,,0.0032018475834302853,,,0.47201320246678585,0.40860828027676493
107,0.04804709552533003,0.042814681871281846,0.8886459939072979,0.07537326698266576,,,,,,,,0.3634621873984933,0.39703521952996634,0.16412932608887468,
527,0.053585999325750575,0.04661038741225169,0.9351134316959969,0.09425829780733946,,,,,,,,0.3713644873265568,0.30738312150207475,,0.22699409336402893
441,0.05648968905579216,0.050336955544682996,0.9235697422050941,0.08785850213833929,,,,,,,,0.4519758543168022,,0.14873510780288,0.31143053574197843
876,0.060973297810315005,0.05512958150375445,0.9246088292334235,0.10596840943712636,,,,,,,,,0.49861376160746695,0.11067901474311598,0.2847388142122907
143,0.11804198706316917,0.12135130217338717,0.8903240849348151,,0.7944321042471457,0.11517330983195163,0.06497746851687745,0.025417117404025094,,,,,,,
546,0.1229897395023023,0.126369202789063,0.8941240192114382,,0.8387635559075213,0.08781636589351394,0.038621654297947165,,0.034798423901017644,,,,,,
422,0.11798298680135653,0.12096967854204786,0.892645066952234,,0.7909453657343407,0.02224514112119271,0.1489852251244617,,,0.03782426802000487,,,,,
628,0.05801706000752296,0.05005487268015677,0.9592884256113259,,0.30987770010122234,0.040979588577332624,0.036882122620479685,,,,0.6122605887009654,,,,
279,0.060809930848285,0.04567020782363598,1.1125399526206892,,0.25247916862914344,0.024515735498657428,0.03250905898986035,,,,,0.6904960368823388,,,
996,0.07747870518022906,0.057225668916147644,1.1791684825756275,,0.33417374667004385,0.02252539934746297,0.036086255388336416,,,,,,0.6072145985941567,,
156,0.08409875919303808,0.06293825136092045,1.1773247205124515,,0.3358401918915255,0.021957548426913838,0.0024811491858523446,,,,,,,0.6397211104957083,
312,0.0955663595977148,0.07421903466385271,1.1528896863891527,,0.3950860661698938,0.04606612135274201,0.09657653761183906,,,,,,,,0.46227127486552533
482,0.12148220685803364,0.12523537410978566,0.8901814495344141,,0.8282173013693601,0.0467298073518467,,0.0432215358319796,0.08183135544681353,,,,,,
762,0.10569856441152811,0.10839905545874014,0.8828357775493145,,0.7171141168933703,0.0969230504457263,,0.04366514442495376,,0.14229768823594968,,,,,
235,0.05323263785432118,0.04568814806431597,0.9462549848477525,,0.27366352315853754,0.05667402840591872,,0.03545538195899608,,,0.6342070664765477,,,,
64,0.06120214717472102,0.04601747262291556,1.1126675207543584,,0.2580992436397208,0.0312935731073783,,0.001450022763213297,,,,0.7091571604896875,,,
745,0.0660627847677301,0.04701117954418633,1.1925415467407294,,0.2197274472228164,0.024973448589149096,,0.04073795309559279,,,,,0.7145611510924418,,
671,0.07637077671289694,0.0573160369707388,1.1579791664029528,,0.2692086230439186,0.055488388418531154,,0.036449839193642065,,,,,,0.638853149343908,
646,0.09901525857963225,0.07740853818348495,1.1499410874887648,,0.4380317150001441,0.05656846011498372,,0.04779157433214803,,,,,,,0.45760825055272414
